Algorithm,Technique,Type,ROC-AUC SCORE,Accuracy,Precision,Recall,F1 Score,CV_score,Training time
XGB,Original,Original,0.7735391056112136,0.8480300187617261,0.4779874213836478,0.14629451395572665,0.22402358142962417,0.2203516370598224,1.4997258186340332
XGB,Over,OverRandomsampling,0.770854828088259,0.7356039832587675,0.31163895486935866,0.631376323387873,0.4173027989821883,0.826802932079063,1.200059175491333
XGB,Over,SMOTE,0.758442066699239,0.8084860730264107,0.36466165413533835,0.3734359961501444,0.3689966714217784,0.8711282230572877,1.3151183128356934
XGB,Over,ADASYN,0.7582877293205071,0.8061769375090201,0.35951940850277264,0.37439846005774785,0.3668081093823668,0.8701837423315815,1.3169264793395996
XGB,Under,UnderRandomsampling,0.7637053062971939,0.6781642372636744,0.2793627269359022,0.7256977863330125,0.4034242910647405,0.6975043240670036,0.764545202255249
XGB,Under,allknn,0.7672984504167681,0.7840958291239717,0.3459204315576534,0.4937439846005775,0.40681998413957177,0.5635815315074605,0.8901622295379639
XGB,Under,NeighbourhoodCleaningRule,0.7758697716068246,0.8154134795785828,0.3795180722891566,0.3638113570741097,0.3714987714987715,0.45498113251545447,0.9608762264251709
XGB,Under,TomekLinks,0.7744518939622956,0.8416798960889017,0.43983402489626555,0.20404234841193455,0.2787639710716634,0.2831709336968164,1.0372254848480225
LGBM,Original,Original,0.783611886837775,0.8513494010679752,0.5348837209302325,0.06641000962463908,0.11815068493150685,0.1317649445910909,1.0169432163238525
LGBM,Over,OverRandomsampling,0.7808987680788795,0.6986578149805167,0.29567588624853913,0.7305101058710298,0.4209650582362729,0.7748136726588173,1.16264009475708
LGBM,Over,SMOTE,0.7621585009747194,0.8012700245345649,0.35580204778157,0.4013474494706448,0.37720488466757124,0.8654729857799773,1.4326508045196533
LGBM,Over,ADASYN,0.7630626287846973,0.8032905181122817,0.3588850174216028,0.3965351299326275,0.37677183356195704,0.8647738571698239,1.434145450592041
LGBM,Under,UnderRandomsampling,0.777403422711207,0.6803290518112282,0.2841409691629956,0.7449470644850819,0.4113739038001594,0.72289527453873,0.5660960674285889
LGBM,Under,allknn,0.7824579922904844,0.8032905181122817,0.3734375,0.4600577478344562,0.4122466580422596,0.5466999766471773,0.7312276363372803
