Algorithm,Technique,Type,ROC-AUC SCORE,Accuracy,Precision,Recall,F1 Score,CV_score,Training time
XGB,Original,Original,0.7735391056112136,0.8480300187617261,0.4779874213836478,0.14629451395572665,0.22402358142962417,0.2203516370598224,1.235851526260376
XGB,Over,OverRandomsampling,0.7673149544667967,0.7370471929571367,0.3116883116883117,0.6236766121270453,0.4156510583707505,0.8271218043335108,1.3659677505493164
XGB,Over,SMOTE,0.758442066699239,0.8084860730264107,0.36466165413533835,0.3734359961501444,0.3689966714217784,0.8711282230572877,1.422175407409668
XGB,Over,ADASYN,0.7582877293205071,0.8061769375090201,0.35951940850277264,0.37439846005774785,0.3668081093823668,0.8701837423315815,1.4306159019470215
XGB,Under,UnderRandomsampling,0.7594841095411384,0.6754221388367729,0.27967953386744354,0.739172281039461,0.4058124174372523,0.6976674156684539,0.8230462074279785
XGB,Under,allknn,0.7672984504167681,0.7840958291239717,0.3459204315576534,0.4937439846005775,0.40681998413957177,0.5635815315074605,0.9587814807891846
XGB,Under,NeighbourhoodCleaningRule,0.7758697716068246,0.8154134795785828,0.3795180722891566,0.3638113570741097,0.3714987714987715,0.45498113251545447,1.0203959941864014
XGB,Under,TomekLinks,0.7744518939622956,0.8416798960889017,0.43983402489626555,0.20404234841193455,0.2787639710716634,0.2831709336968164,1.058095932006836
LGBM,Original,Original,0.783611886837775,0.8513494010679752,0.5348837209302325,0.06641000962463908,0.11815068493150685,0.1317649445910909,1.0171895027160645
LGBM,Over,OverRandomsampling,0.7833636724616038,0.6996680617693751,0.2991518889745567,0.7468719923002888,0.42719515551885495,0.7753761192753951,1.187711238861084
LGBM,Over,SMOTE,0.7621585009747194,0.8012700245345649,0.35580204778157,0.4013474494706448,0.37720488466757124,0.8654729857799773,1.4827282428741455
LGBM,Over,ADASYN,0.7630626287846973,0.8032905181122817,0.3588850174216028,0.3965351299326275,0.37677183356195704,0.8647738571698239,1.4981579780578613
LGBM,Under,UnderRandomsampling,0.7725299074629353,0.6794631259922067,0.28633405639913234,0.7622714148219442,0.4162943495400788,0.7203467127452011,0.5943915843963623
LGBM,Under,allknn,0.7824579922904844,0.8032905181122817,0.3734375,0.4600577478344562,0.4122466580422596,0.5466999766471773,0.7947845458984375
LGBM,Under,NeighbourhoodCleaningRule,0.7847497675543449,0.8292682926829268,0.4148936170212766,0.33782483156881615,0.3724137931034483,0.42448554382702386,0.7756199836730957
LGBM,Under,TomekLinks,0.7822271806997391,0.850050512339443,0.5,0.109720885466795,0.17995264404104183,0.20251918450149495,0.8623759746551514
LogisticRegression,Original,Original,0.7592562392662398,0.8468754510030307,0.417910447761194,0.05389797882579403,0.09548167092924126,0.10553684942794465,0.2916908264160156
LogisticRegression,Over,OverRandomsampling,0.7596077265099163,0.6960600375234521,0.28753484667463164,0.6948989412897016,0.4067605633802817,0.6916229066582686,0.3725619316101074
LogisticRegression,Over,SMOTE,0.7203406697376183,0.6933179390965507,0.27468879668049795,0.6371511068334937,0.3838793853290809,0.7250785777819202,0.3684511184692383
LogisticRegression,Over,ADASYN,0.7177013289845434,0.6889883100014432,0.2737226277372263,0.6496631376323387,0.38516405135520687,0.7246430489110562,0.3842461109161377
LogisticRegression,Under,UnderRandomsampling,0.7598698304331414,0.6966373214027999,0.28833134209478295,0.6968238691049086,0.40788732394366195,0.6909900337707913,0.09934639930725098
LogisticRegression,Under,allknn,0.7589083469641535,0.8131043440611921,0.3771593090211132,0.3782483156881617,0.37770302739067757,0.45087691077174985,0.20435404777526855
LogisticRegression,Under,NeighbourhoodCleaningRule,0.7590661975812578,0.8299898975321114,0.3945371775417299,0.2502406159769009,0.30624263839811544,0.3381160472548489,0.2116692066192627
